"Name","K","Kin","Kout","TypeI","TypeII","Type"
"B2M",30,29,1,0,1,"coding"
"BCL2L1",64,56,8,0,1,"coding"
"MAPK8",86,79,7,0,1,"coding"
"YWHAQ",95,82,13,0,1,"coding"
"BCL2",98,85,13,0,1,"coding"
"PHYHIP",42,37,5,0,1,"coding"
"HDHD2",15,13,2,0,1,"coding"
"SHANK1",14,5,9,0,1,"coding"
"NCKIPSD",46,43,3,0,1,"coding"
"NFIL3",23,21,2,0,1,"coding"
"CREB3L3",5,2,3,0,1,"coding"
"BID",40,33,7,0,1,"coding"
"MAP3K7",71,62,9,0,1,"coding"
"CASP8",47,28,19,0,1,"coding"
"BCAR1",33,26,7,0,1,"coding"
"CD2AP",79,76,3,0,1,"coding"
"FAM46A",52,50,2,0,1,"coding"
"BCL10",27,20,7,0,1,"coding"
"IKBKG",47,42,5,0,1,"coding"
"CYCS",83,82,1,0,1,"coding"
"HRK",56,55,1,0,1,"coding"
"FOS",409,54,355,0,1,"coding"
"NFKB2",78,12,66,0,1,"coding"
"ERCC3",17,14,3,0,1,"coding"
"RBL1",75,70,5,0,1,"coding"
"BMP4",12,8,4,0,1,"coding"
"CSNK2A2",34,26,8,0,1,"coding"
"DNM2",43,38,5,0,1,"coding"
"CASP7",25,22,3,0,1,"coding"
"DIABLO",22,19,3,0,1,"coding"
"TRAF1",66,53,13,0,1,"coding"
"UBB",38,24,14,0,1,"coding"
"BLK",4,2,2,0,1,"coding"
"SUMO2",50,45,5,0,1,"coding"
"BLNK",15,13,2,0,1,"coding"
"TPI1",26,24,2,0,1,"coding"
"BMI1",55,52,3,0,1,"coding"
"RING1",17,14,3,0,1,"coding"
"BMPR2",105,92,13,0,1,"coding"
"GDF9",10,4,6,0,1,"coding"
"TUBB",80,68,12,0,1,"coding"
"BMX",8,7,1,0,1,"coding"
"ITK",19,16,3,0,1,"coding"
"GNB5",40,37,3,0,1,"coding"
"ROBO2",46,38,8,0,1,"coding"
"MAP2K1",52,45,7,0,1,"coding"
"BRCA2",20,16,4,0,1,"coding"
"CDK2",101,92,9,0,1,"coding"
"KPNA2",84,81,3,0,1,"coding"
"NFYA",289,60,229,0,1,"coding"
"RFC1",21,19,2,0,1,"coding"
"BTBD2",27,25,2,0,1,"coding"
"RBL2",48,42,6,0,1,"coding"
"RBP1",11,8,3,0,1,"coding"
"PDLIM7",17,14,3,0,1,"coding"
"TRIM5",12,11,1,0,1,"coding"
"BTK",41,10,31,0,1,"coding"
"LYN",103,68,35,0,1,"coding"
"MYD88",31,24,7,0,1,"coding"
"PLCG2",79,63,16,0,1,"coding"
"PRKCQ",14,9,5,0,1,"coding"
"SYK",57,26,31,0,1,"coding"
"TNFRSF14",21,14,7,0,1,"coding"
"BTRC",72,61,11,0,1,"coding"
"SKP1",50,45,5,0,1,"coding"
"SUFU",33,31,2,0,1,"coding"
"PLK1",61,40,21,0,1,"coding"
"BUB1B",11,9,2,0,1,"coding"
"C11orf58",31,25,6,0,1,"coding"
"EEF1G",36,19,17,0,1,"coding"
"KIAA1377",44,19,25,0,1,"coding"
"RPLP1",49,41,8,0,1,"coding"
"SF3B1",49,43,6,0,1,"coding"
"C14orf1",27,22,5,0,1,"coding"
"C19orf57",7,6,1,0,1,"coding"
"TSNAX",20,18,2,0,1,"coding"
"C1QBP",23,22,1,0,1,"coding"
"CTSG",11,6,5,0,1,"coding"
"FGFR3",23,15,8,0,1,"coding"
"C8orf33",37,35,2,0,1,"coding"
"FEZ1",15,5,10,0,1,"coding"
"IMMT",30,20,10,0,1,"coding"
"CCNE1",44,38,6,0,1,"coding"
"CACHD1",19,18,1,0,1,"coding"
"CACNA1C",71,70,1,0,1,"coding"
"MPP3",8,7,1,0,1,"coding"
"CALCOCO2",44,37,7,0,1,"coding"
"GPRASP2",21,10,11,0,1,"coding"
"STRN4",30,25,5,0,1,"coding"
"PLAT",22,20,2,0,1,"coding"
"PLP1",15,14,1,0,1,"coding"
"THBS1",108,98,10,0,1,"coding"
"TRAF6",63,36,27,0,1,"coding"
"CAMK2A",26,24,2,0,1,"coding"
"KCNA3",9,7,2,0,1,"coding"
"RYR1",8,4,4,0,1,"coding"
"EBI3",14,13,1,0,1,"coding"
"CAPNS1",24,20,4,0,1,"coding"
"CAPRIN1",69,68,1,0,1,"coding"
"RPP14",36,34,2,0,1,"coding"
"EPB41",67,50,17,0,1,"coding"
"PRKD2",28,24,4,0,1,"coding"
"PLA2G4A",39,32,7,0,1,"coding"
"DSP",26,25,1,0,1,"coding"
"EIF2AK2",70,55,15,0,1,"coding"
"NEDD4",54,50,4,0,1,"coding"
"STK4",92,91,1,0,1,"coding"
"TOP1",31,29,2,0,1,"coding"
"RIPK1",13,9,4,0,1,"coding"
"RYBP",95,92,3,0,1,"coding"
"PRKCZ",26,9,17,0,1,"coding"
"PTPN11",83,48,35,0,1,"coding"
"HRAS",45,24,21,0,1,"coding"
"ILK",39,29,10,0,1,"coding"
"CD5",17,14,3,0,1,"coding"
"INSR",72,48,24,0,1,"coding"
"ITCH",34,32,2,0,1,"coding"
"KHDRBS1",34,29,5,0,1,"coding"
"KRT18",26,20,6,0,1,"coding"
"UBE2L3",15,13,2,0,1,"coding"
"TRIM24",48,40,8,0,1,"coding"
"TAF4",39,34,5,0,1,"coding"
"MCM10",36,28,8,0,1,"coding"
"CCR5",41,31,10,0,1,"coding"
"MMP1",15,12,3,0,1,"coding"
"MMP3",12,9,3,0,1,"coding"
"CXCL13",8,6,2,0,1,"coding"
"CCR1",11,9,2,0,1,"coding"
"VCAN",69,59,10,0,1,"coding"
"CCL21",7,4,3,0,1,"coding"
"CTSD",19,14,5,0,1,"coding"
"DPP4",17,10,7,0,1,"coding"
"CCR3",12,5,7,0,1,"coding"
"IL8",22,21,1,0,1,"coding"
"CDC25C",14,9,5,0,1,"coding"
"GADD45G",30,20,10,0,1,"coding"
"DVL3",57,55,2,0,1,"coding"
"CDK9",55,45,10,0,1,"coding"
"JAK1",72,46,26,0,1,"coding"
"JAK2",60,31,29,0,1,"coding"
"CD4",37,26,11,0,1,"coding"
"CXCR4",26,16,10,0,1,"coding"
"PTK2B",36,20,16,0,1,"coding"
"SOD1",11,10,1,0,1,"coding"
"RAP1B",59,58,1,0,1,"coding"
"ITGB2",27,9,18,0,1,"coding"
"ITGA3",52,49,3,0,1,"coding"
"ITGA6",40,32,8,0,1,"coding"
"ITGB1",82,56,26,0,1,"coding"
"CD22",10,7,3,0,1,"coding"
"CD79A",12,7,5,0,1,"coding"
"CD79B",9,5,4,0,1,"coding"
"FYN",146,98,48,0,1,"coding"
"CD2",11,7,4,0,1,"coding"
"PSTPIP1",11,10,1,0,1,"coding"
"LCP2",25,17,8,0,1,"coding"
"CD244",10,8,2,0,1,"coding"
"LAT",19,10,9,0,1,"coding"
"CD247",19,6,13,0,1,"coding"
"CSK",37,30,7,0,1,"coding"
"TRAF2",81,18,63,0,1,"coding"
"TRAF3",49,42,7,0,1,"coding"
"CD28",35,23,12,0,1,"coding"
"GRAP2",48,40,8,0,1,"coding"
"PIK3CG",22,20,2,0,1,"coding"
"CD3E",16,12,4,0,1,"coding"
"IL16",17,12,5,0,1,"coding"
"GNAI1",43,31,12,0,1,"coding"
"PTK2",59,37,22,0,1,"coding"
"SIRPA",43,40,3,0,1,"coding"
"UBQLN1",49,41,8,0,1,"coding"
"CD48",13,9,4,0,1,"coding"
"IL2",8,7,1,0,1,"coding"
"SDCBP",49,43,6,0,1,"coding"
"CD72",5,4,1,0,1,"coding"
"CTLA4",9,8,1,0,1,"coding"
"CD82",18,9,9,0,1,"coding"
"MELK",64,63,1,0,1,"coding"
"SAFB",22,16,6,0,1,"coding"
"ITSN1",59,51,8,0,1,"coding"
"STAU1",45,38,7,0,1,"coding"
"TNK2",33,32,1,0,1,"coding"
"CTDSP1",30,28,2,0,1,"coding"
"CDH2",39,35,4,0,1,"coding"
"CDK5RAP2",8,6,2,0,1,"coding"
"HTATSF1",9,7,2,0,1,"coding"
"PAX6",37,32,5,0,1,"coding"
"GATA2",269,23,246,0,1,"coding"
"ELK1",91,29,62,0,1,"coding"
"MYB",364,33,331,0,1,"coding"
"SMARCC1",59,42,17,0,1,"coding"
"SRF",272,40,232,0,1,"coding"
"TAF9",20,14,6,0,1,"coding"
"GARS",38,37,1,0,1,"coding"
"PIN1",57,41,16,0,1,"coding"
"NEK2",15,10,5,0,1,"coding"
"IKBKB",31,28,3,0,1,"coding"
"RAF1",61,47,14,0,1,"coding"
"TRIM28",41,40,1,0,1,"coding"
"CHM",11,10,1,0,1,"coding"
"CHMP1B",46,44,2,0,1,"coding"
"CHMP2A",12,10,2,0,1,"coding"
"MAPK8IP2",29,22,7,0,1,"coding"
"TYROBP",7,5,2,0,1,"coding"
"HGS",37,20,17,0,1,"coding"
"CNKSR1",5,3,2,0,1,"coding"
"CNKSR2",32,31,1,0,1,"coding"
"MET",67,50,17,0,1,"coding"
"IL6ST",118,114,4,0,1,"coding"
"PTPRB",41,38,3,0,1,"coding"
"CNTNAP2",26,24,2,0,1,"coding"
"PPL",29,28,1,0,1,"coding"
"KDR",52,31,21,0,1,"coding"
"DCN",23,15,8,0,1,"coding"
"IGFBP3",35,29,6,0,1,"coding"
"SNCA",23,13,10,0,1,"coding"
"COL2A1",8,6,2,0,1,"coding"
"PXN",38,28,10,0,1,"coding"
"XRN2",18,15,3,0,1,"coding"
"MAPK14",89,77,12,0,1,"coding"
"TRIM37",58,53,5,0,1,"coding"
"CPE",52,47,5,0,1,"coding"
"POLA2",47,43,4,0,1,"coding"
"RPA1",33,20,13,0,1,"coding"
"NUDT21",45,35,10,0,1,"coding"
"PLSCR1",56,40,16,0,1,"coding"
"WWP1",39,36,3,0,1,"coding"
"EBF1",293,37,256,0,1,"coding"
"ETS1",293,71,222,0,1,"coding"
"MAFG",52,48,4,0,1,"coding"
"PROX1",59,47,12,0,1,"coding"
"SNIP1",54,50,4,0,1,"coding"
"TCF12",310,26,284,0,1,"coding"
"IRS2",45,40,5,0,1,"coding"
"CRMP1",34,24,10,0,1,"coding"
"EIF2S2",46,43,3,0,1,"coding"
"INPP5D",17,9,8,0,1,"coding"
"CSF2RB",20,9,11,0,1,"coding"
"HNRNPK",53,43,10,0,1,"coding"
"PPP1R8",22,16,6,0,1,"coding"
"ERCC8",10,8,2,0,1,"coding"
"LYST",25,22,3,0,1,"coding"
"CTBP2",27,25,2,0,1,"coding"
"POLR2B",24,23,1,0,1,"coding"
"SNRNP70",23,20,3,0,1,"coding"
"CTGF",51,49,2,0,1,"coding"
"NOV",13,9,4,0,1,"coding"
"RUVBL1",14,13,1,0,1,"coding"
"ZFYVE9",33,28,5,0,1,"coding"
"CTTN",25,23,2,0,1,"coding"
"CUL9",8,6,2,0,1,"coding"
"NCF4",5,4,1,0,1,"coding"
"FMR1",41,39,2,0,1,"coding"
"TRIM23",42,37,5,0,1,"coding"
"HDAC1",37,29,8,0,1,"coding"
"MED31",14,12,2,0,1,"coding"
"MCM3",47,41,6,0,1,"coding"
"MCM7",68,57,11,0,1,"coding"
"HSPD1",49,43,6,0,1,"coding"
"ILF3",40,39,1,0,1,"coding"
"UBQLN4",49,28,21,0,1,"coding"
"DLG1",39,17,22,0,1,"coding"
"MAPK12",13,6,7,0,1,"coding"
"DLG2",49,34,15,0,1,"coding"
"FZD4",68,65,3,0,1,"coding"
"NOS1",18,13,5,0,1,"coding"
"YES1",69,64,5,0,1,"coding"
"DLST",22,20,2,0,1,"coding"
"GRIN2D",18,12,6,0,1,"coding"
"FLII",14,12,2,0,1,"coding"
"SOX8",16,11,5,0,1,"coding"
"KRT8",21,15,6,0,1,"coding"
"HMGCL",5,4,1,0,1,"coding"
"NUDT3",104,93,11,0,1,"coding"
"DNAJC3",34,31,3,0,1,"coding"
"HSPA1B",38,37,1,0,1,"coding"
"TRIM27",25,23,2,0,1,"coding"
"PSEN1",49,34,15,0,1,"coding"
"KIAA1279",30,26,4,0,1,"coding"
"DPYSL2",41,40,1,0,1,"coding"
"MPDZ",17,12,5,0,1,"coding"
"NCK1",58,23,35,0,1,"coding"
"KRT5",6,3,3,0,1,"coding"
"DUSP23",13,8,5,0,1,"coding"
"PRPF3",6,4,2,0,1,"coding"
"PNN",31,26,5,0,1,"coding"
"PARD3",45,39,6,0,1,"coding"
"DYNLL2",75,73,2,0,1,"coding"
"E2F6",377,35,342,0,1,"coding"
"TFDP1",43,39,4,0,1,"coding"
"E2F2",108,97,11,0,1,"coding"
"E2F3",277,143,134,0,1,"coding"
"PARD6A",11,5,6,0,1,"coding"
"RHOG",23,19,4,0,1,"coding"
"EDA",6,5,1,0,1,"coding"
"EEF1A1",61,51,10,0,1,"coding"
"EXOSC4",17,8,9,0,1,"coding"
"EEF1D",47,43,4,0,1,"coding"
"MVD",8,7,1,0,1,"coding"
"EFNA1",45,44,1,0,1,"coding"
"EFNA3",26,25,1,0,1,"coding"
"PRSS23",31,28,3,0,1,"coding"
"EFNA4",7,6,1,0,1,"coding"
"MAP2K4",50,43,7,0,1,"coding"
"RGS3",17,14,3,0,1,"coding"
"HOMER1",43,35,8,0,1,"coding"
"PTPN13",25,21,4,0,1,"coding"
"SNRPD2",18,10,8,0,1,"coding"
"ELN",25,23,2,0,1,"coding"
"TES",56,52,4,0,1,"coding"
"ING4",8,6,2,0,1,"coding"
"SDC3",20,13,7,0,1,"coding"
"SYNCRIP",105,104,1,0,1,"coding"
"STAMBP",32,30,2,0,1,"coding"
"HOOK2",11,9,2,0,1,"coding"
"PKP4",27,26,1,0,1,"coding"
"PIK3CB",52,44,8,0,1,"coding"
"RFX4",9,8,1,0,1,"coding"
"THRA",92,87,5,0,1,"coding"
"PSMC5",18,16,2,0,1,"coding"
"ETF1",34,33,1,0,1,"coding"
"EXOSC10",16,10,6,0,1,"coding"
"F10",11,8,3,0,1,"coding"
"TJP1",60,53,7,0,1,"coding"
"F2R",38,32,6,0,1,"coding"
"ITGAV",43,34,9,0,1,"coding"
"F2RL2",34,31,3,0,1,"coding"
"RABAC1",47,34,13,0,1,"coding"
"RAP1A",57,44,13,0,1,"coding"
"PRMT1",23,15,8,0,1,"coding"
"TNFRSF1A",30,15,15,0,1,"coding"
"FCER1G",8,4,4,0,1,"coding"
"ZAP70",30,5,25,0,1,"coding"
"FGFR1",48,45,3,0,1,"coding"
"SYT1",46,42,4,0,1,"coding"
"RPS6KA3",112,102,10,0,1,"coding"
"FIGF",5,3,2,0,1,"coding"
"GATA1",425,5,420,0,1,"coding"
"RAC1",62,51,11,0,1,"coding"
"TTN",12,8,4,0,1,"coding"
"SHBG",4,2,2,0,1,"coding"
"FLOT2",19,18,1,0,1,"coding"
"VHL",44,38,6,0,1,"coding"
"SYNJ1",33,27,6,0,1,"coding"
"PPARG",143,19,124,0,1,"coding"
"NR1H3",51,11,40,0,1,"coding"
"SAA1",9,6,3,0,1,"coding"
"MPHOSPH6",13,10,3,0,1,"coding"
"TAF10",19,10,9,0,1,"coding"
"SLC35E1",29,27,2,0,1,"coding"
"TNNT1",10,6,4,0,1,"coding"
"GIPC1",30,22,8,0,1,"coding"
"SFRP1",19,18,1,0,1,"coding"
"RYK",22,21,1,0,1,"coding"
"WNT1",20,19,1,0,1,"coding"
"GABARAP",20,14,6,0,1,"coding"
"SH3GL3",12,1,11,0,1,"coding"
"PPP3CA",38,31,7,0,1,"coding"
"TRAK2",32,30,2,0,1,"coding"
"GNAQ",64,52,12,0,1,"coding"
"IARS",31,30,1,0,1,"coding"
"MBD3",382,38,344,0,1,"coding"
"NCAM1",24,19,5,0,1,"coding"
"S100A1",6,4,2,0,1,"coding"
"RET",29,19,10,0,1,"coding"
"GGA1",36,31,5,0,1,"coding"
"GGA2",44,37,7,0,1,"coding"
"GHRL",3,1,2,0,1,"coding"
"RGS19",22,14,8,0,1,"coding"
"ZIC1",11,8,3,0,1,"coding"
"NUDT18",25,19,6,0,1,"coding"
"PLEKHF2",44,42,2,0,1,"coding"
"HTR2A",33,25,8,0,1,"coding"
"TRPC3",24,18,6,0,1,"coding"
"GNA15",3,1,2,0,1,"coding"
"RIC8A",27,25,2,0,1,"coding"
"GNAI3",41,35,6,0,1,"coding"
"PLCB1",26,22,4,0,1,"coding"
"RGS4",21,20,1,0,1,"coding"
"GOLGA2",36,30,6,0,1,"coding"
"STX6",66,63,3,0,1,"coding"
"IGF2",67,61,6,0,1,"coding"
"LRSAM1",16,11,5,0,1,"coding"
"STUB1",17,6,11,0,1,"coding"
"HDAC3",14,12,2,0,1,"coding"
"GRASP",8,6,2,0,1,"coding"
